[1,1e+03)         805865
[1e+03,2e+03)        330
[2e+03,3e+03)        113
[3e+03,4e+03)         36
[4e+03,5e+03)         22
[5e+03,6e+03)         18
[6e+03,7e+03)         12
[7e+03,8e+03)         12
[8e+03,9e+03)          4
[9e+03,1e+04)          6
[1e+04,1.1e+04)        4
[1.1e+04,1.2e+04)      3
[1.2e+04,1.3e+04)      1
[1.3e+04,1.4e+04)      1
[1.4e+04,1.5e+04)      1
[1.5e+04,1.6e+04)      4
[1.6e+04,1.7e+04)      0
[1.7e+04,1.8e+04)      1


[1,101)     802338
[101,201)     1827
[201,301)      624
[301,401)      335
[401,501)      212
[501,601)      167
[601,701)      142
[701,801)       89
[801,901)       77


[1,11)    774574
[11,21)    14756
[21,31)     5225
[31,41)     2721
[41,51)     1660
[51,61)     1149
[61,71)      813
[71,81)      580
[81,91)      475


[1,2)     581699
[2,3)      98451
[3,4)      36855
[4,5)      19412
[5,6)      11951
[6,7)       8614
[7,8)       6084
[8,9)       4757
[9,10)      3663
[10,11)     3088


[1,1.2)     581699
[1.2,1.4)        0
[1.4,1.6)        0
[1.6,1.8)        0
[1.8,2)          0

